Месец,Број/Површина ( во m2 ),"Видови објекти од високоградба, број/површина ( во m2 )",value
2010М08,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,34
2010М08,Површина ( во m2 ),125 Индустриски згради и складишта,1899
2010М08,Површина ( во m2 ),127 Други нестанбени згради,720
2010М09,Површина ( во m2 ),11 Станови во станбени објекти (згради),49770
2010М09,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,10100
2010М09,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,39670
2010М09,Површина ( во m2 ),12 Нестанбени згради,84953
2010М09,Површина ( во m2 ),121 Хотели и слични згради,310
2010М09,Површина ( во m2 ),122 Деловни згради,11745
2010М09,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,8074
2010М09,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,164
2010М09,Површина ( во m2 ),125 Индустриски згради и складишта,62414
2010М09,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1350
2010М09,Површина ( во m2 ),127 Други нестанбени згради,896
2010М10,Површина ( во m2 ),11 Станови во станбени објекти (згради),26106
2010М10,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,8002
2010М10,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,18104
2010М10,Површина ( во m2 ),12 Нестанбени згради,61810
2010М10,Површина ( во m2 ),122 Деловни згради,3108
2010М10,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,12039
2010М10,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,35204
2010М10,Површина ( во m2 ),125 Индустриски згради и складишта,8734
2010М10,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2233
2010М10,Површина ( во m2 ),127 Други нестанбени згради,492
2010М11,Површина ( во m2 ),11 Станови во станбени објекти (згради),58329
2010М11,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,10633
2010М11,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,47696
2010М11,Површина ( во m2 ),12 Нестанбени згради,10638
2010М11,Површина ( во m2 ),121 Хотели и слични згради,1500
2010М11,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,2636
2010М11,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,136
2010М11,Површина ( во m2 ),125 Индустриски згради и складишта,6086
2010М11,Површина ( во m2 ),127 Други нестанбени згради,280
2010М12,Површина ( во m2 ),11 Станови во станбени објекти (згради),68339
2010М12,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,10472
2010М12,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,57867
2010М12,Површина ( во m2 ),12 Нестанбени згради,65904
2010М12,Површина ( во m2 ),121 Хотели и слични згради,1492
2010М12,Површина ( во m2 ),122 Деловни згради,250
2010М12,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,8940
2010М12,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,5417
2010М12,Површина ( во m2 ),125 Индустриски згради и складишта,38761
2010М12,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",9194
2010М12,Површина ( во m2 ),127 Други нестанбени згради,1850
2011М01,Површина ( во m2 ),11 Станови во станбени објекти (згради),27753
2011М01,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,9505
2011М01,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,18248
2011М01,Површина ( во m2 ),12 Нестанбени згради,10833
2011М01,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,2926
2011М01,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,22
2011М01,Површина ( во m2 ),125 Индустриски згради и складишта,6625
2011М01,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",760
2011М01,Површина ( во m2 ),127 Други нестанбени згради,500
2011М02,Површина ( во m2 ),11 Станови во станбени објекти (згради),30036
2011М02,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,4877
2011М02,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,25159
2011М02,Површина ( во m2 ),12 Нестанбени згради,11203
2011М02,Површина ( во m2 ),121 Хотели и слични згради,243
2011М02,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,4983
2011М02,Површина ( во m2 ),125 Индустриски згради и складишта,2714
2011М02,Површина ( во m2 ),127 Други нестанбени згради,3263
